,population_id,park_name,pop_name,pop_date,population_no,park_add
203,208,MCP,Sus cebifrons (Visayan Warty Pig),2021-09-06,14,"Jayubo, Lambunao, Iloilo"
204,209,MCP,Rusa alfredi (Visayan Spotted Deer),2021-09-06,18,"Jayubo, Lambunao, Iloilo"
205,210,MCP,Aceros waldeni (Visayan Writhed Hornbill),2021-10-04,14,"Jayubo, Lambunao, Iloilo"
206,211,MCP,Sus cebifrons (Visayan Warty Pig),2021-10-04,14,"Jayubo, Lambunao, Iloilo"
207,212,MCP,Rusa alfredi (Visayan Spotted Deer),2021-10-04,18,"Jayubo, Lambunao, Iloilo"
208,213,MCP,Aceros waldeni (Visayan Writhed Hornbill),2021-11-03,14,"Jayubo, Lambunao, Iloilo"
209,214,MCP,Sus cebifrons (Visayan Warty Pig),2021-11-03,14,"Jayubo, Lambunao, Iloilo"
210,215,MCP,Rusa alfredi (Visayan Spotted Deer),2021-11-03,18,"Jayubo, Lambunao, Iloilo"
211,216,MCP,Sus cebifrons (Visayan Warty Pig),2019-05-06,14,"Jayubo, Lambunao, Iloilo"
212,217,MCP,Rusa alfredi (Visayan Spotted Deer),2020-06-01,18,"Jayubo, Lambunao, Iloilo"
